base,thirdSingular,past,pastParticiple
be,is,was,been
have,has,had,had
make,makes,made,made
go,goes,went,gone
come,comes,came,come
eat,eats,ate,eaten
drink,drinks,drank,drunk
sleep,sleeps,slept,slept
give,gives,gave,given
take,takes,took,taken
put,puts,put,put
buy,buys,bought,bought
read,reads,read,read
write,writes,wrote,written
draw,draws,drew,drawn
sing,sings,sang,sung
run,runs,ran,run
sit,sits,sat,sat
stand up,stands up,stood up,stood up
feel,feels,felt,felt
see,sees,saw,seen
know,knows,knew,known
say,says,said,said
find,finds,found,found
hold,holds,held,held
let go,lets go,let go,let go
swim,swims,swam,swum
go upstairs,goes upstairs,went upstairs,gone upstairs
go down the stairs,goes down the stairs,went down the stairs,gone down the stairs
go out,goes out,went out,gone out
break,breaks,broke,broken
cut out,cuts out,cut out,cut out
forget,forgets,forgot,forgotten
wake up,wakes up,woke up,woken up
pay,pays,paid,paid
think,thinks,thought,thought
fall,falls,fell,fallen
